community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
316,4,4,0,0,8bfb287c10,2
319,4,4,0,0,f262c0abba,1
323,4,4,0,0,8c756c6c59,1
329,4,4,0,0,8e22e2b7e4,2
351,4,4,0,0,2130cf5492,2
382,4,4,0,0,76b3e2982a,3
385,4,4,0,0,870a8bda65,1
404,4,4,0,0,116f2a3281,1
411,4,4,0,0,359cd8393b,2
427,4,4,0,0,fa92e43e59,2
438,4,4,0,0,c8559dcb11,3
443,4,4,0,0,3b1eb33f42,2
449,4,4,0,0,df3ce35562,2
454,4,4,0,0,f8387760fd,2
480,4,4,0,0,4bc942775a,2
481,4,4,0,0,893737ed9b,1
485,4,4,0,0,1cc22f243f,2
497,4,4,0,0,ded260364f,1
508,4,4,0,0,3daba03090,1
531,4,4,0,0,727956e9af,1
544,4,4,0,0,880a0ce729,1
553,4,4,0,0,a8ea1af119,1
614,4,4,0,0,0986e8cd43,3
650,4,3,1,0,ad7123760c,2
685,4,4,0,0,691e5d1abd,1
726,4,4,0,0,ecf36cecd0,3
737,4,4,0,0,07fe63689e,3
767,4,4,0,0,a240133ead,1
773,4,4,0,0,105bbaca7a,1
775,4,4,0,0,63fbbdf49f,1
805,4,4,0,0,ccf4447fb8,3
809,4,4,0,0,2a1e3a37c2,1
832,4,4,0,0,7dcee0ef87,1
851,4,4,0,0,829d92da9d,2
859,4,4,0,0,fccec5837a,3
876,4,4,0,0,8283b5a7cd,1
892,4,4,0,0,7b549d67bb,1
895,4,4,0,0,89fc38d5fd,3
906,4,4,0,0,28790e02d1,1
932,4,4,0,0,a0be20b5cb,1
943,4,4,0,0,b61f7093fd,2
1015,4,4,0,0,ba9c1b2143,1
1022,4,4,0,0,a08686e623,2
1034,4,4,0,0,c07d07f500,1
1045,4,4,0,0,6774d49985,1
1057,4,4,0,0,2dd727f0bb,1
1062,4,4,0,0,f8577c5c76,1
1080,4,4,0,0,a2ffa97a9e,1
1081,4,4,0,0,189e69f04d,1
1104,4,4,0,0,ba96424462,1
1114,4,3,1,0,434ed29f94,1
1128,4,4,0,0,6b97eee5ef,2
1146,4,4,0,0,0d4eb698b4,2
1171,4,4,0,0,72ee181d67,3
1174,4,4,0,0,4cae493c6a,1
1194,4,4,0,0,d2aeaea2f1,1
1219,4,4,0,0,37230ce5a3,2
1221,4,4,0,0,7c6dc59689,1
1225,4,4,0,0,ad51eb5821,1
1257,4,4,0,0,0ade918f26,1
1275,4,4,0,0,da45d0b4a1,2
1316,4,4,0,0,9f9e190d53,1
1351,4,4,0,0,f9b6c1f38f,2
1370,4,4,0,0,aa8eb026f1,3
1451,4,4,0,0,5297dc2ae2,1
1476,4,4,0,0,d9f2cc4fbe,1
1486,4,4,0,0,a464e07415,2
1560,4,4,0,0,f41aca9131,1
1633,4,4,0,0,cb10da6207,1
0,3,3,0,0,293caa8d67,2
18,3,3,0,0,9da65f519a,1
23,3,3,0,0,3565f15396,2
38,3,3,0,0,4e992e665c,1
48,3,3,0,0,80716a4630,1
56,3,3,0,0,4401578d52,2
61,3,3,0,0,83b4aac697,1
65,3,3,0,0,aab2f38cdb,2
67,3,3,0,0,4e24b8a6a4,1
77,3,3,0,0,cad2dfdae2,1
81,3,3,0,0,17027a776f,2
90,3,3,0,0,cbcfdcd785,2
100,3,3,0,0,3f645e7ceb,1
105,3,3,0,0,c18d6c8040,2
106,3,3,0,0,c7601a0b1f,2
109,3,3,0,0,33d3c9cbf7,1
110,3,3,0,0,9fcefb35e8,1
128,3,3,0,0,34dc7871d0,1
151,3,3,0,0,6874174b54,1
157,3,3,0,0,9dbd187e3a,1
163,3,3,0,0,d256eff6f3,1
167,3,3,0,0,bcf806f599,1
171,3,3,0,0,1fd1608f4d,2
188,3,3,0,0,6531da9210,2
197,3,3,0,0,d7ed016d7a,2
200,3,3,0,0,e9aa4b05ca,1
207,3,3,0,0,a514dfdca2,2
212,3,2,1,0,1be3c44c05,2
